 train         node      observed        predicted
     y          436    0.387120E+001    0.432927E+001
     y           61    0.485981E+001    0.499288E+001
     y           50    0.333220E+001    0.376925E+001
     y          132    0.493447E+001    0.567895E+001
     y          221    0.459512E+001    0.441960E+001
     y           20    0.398898E+001    0.370297E+001
     y          231    0.478749E+001    0.485338E+001
     y          132    0.438203E+001    0.478267E+001
     y          448    0.404305E+001    0.507163E+001
     y          260    0.524175E+001    0.480280E+001
     y           51    0.373767E+001    0.356401E+001
     y          230    0.325810E+001    0.310734E+001
     y           59    0.610032E+001    0.579495E+001
     y          451    0.448864E+001    0.457571E+001
     y           52    0.400733E+001    0.393454E+001
     y           44    0.406044E+001    0.373780E+001
     y           37    0.457471E+001    0.457471E+001
     y          241    0.449981E+001    0.477869E+001
     y          230    0.454329E+001    0.458843E+001
     y          117    0.671538E+001    0.594812E+001
     y          220    0.340120E+001    0.425261E+001
     y          229    0.560580E+001    0.520011E+001
     y           51    0.361092E+001    0.376397E+001
     y          449    0.530827E+001    0.502042E+001
     y          437    0.552146E+001    0.475242E+001
     y          241    0.521494E+001    0.557544E+001
     y          113    0.580814E+001    0.546739E+001
     y           64    0.445435E+001    0.425726E+001
     y          132    0.474493E+001    0.476761E+001
     y          231    0.512990E+001    0.527102E+001
     y          431    0.433073E+001    0.430183E+001
     y          449    0.529832E+001    0.506398E+001
     y          229    0.440672E+001    0.438015E+001
     y          222    0.447734E+001    0.428448E+001
     y           50    0.368888E+001    0.385583E+001
     y          113    0.517048E+001    0.481143E+001
     y           52    0.435671E+001    0.413869E+001
     y          220    0.463473E+001    0.490152E+001
     y          437    0.471850E+001    0.416885E+001
     y          431    0.426268E+001    0.441699E+001
     y           61    0.519296E+001    0.583524E+001
     y          231    0.539816E+001    0.499172E+001
     y          217    0.358352E+001    0.408483E+001
     y           52    0.441884E+001    0.400968E+001
     y          121    0.587774E+001    0.522556E+001
     y          220    0.409434E+001    0.443756E+001
     y          431    0.423411E+001    0.427552E+001
     y          231    0.466344E+001    0.537161E+001
     y          121    0.539363E+001    0.515836E+001
     y          113    0.575890E+001    0.564847E+001
     y           61    0.578383E+001    0.523968E+001
     y          430    0.400733E+001    0.400733E+001
     y           19    0.538907E+001    0.534943E+001
     y           51    0.391202E+001    0.397657E+001
     y          451    0.504986E+001    0.488024E+001
     y          449    0.400733E+001    0.425875E+001
     y          231    0.524702E+001    0.514855E+001
     y          113    0.581711E+001    0.588904E+001
     y          436    0.340120E+001    0.384257E+001
     y          448    0.515906E+001    0.489205E+001
     y           67    0.630810E+001    0.584193E+001
     y           31    0.581114E+001    0.651433E+001
     y          132    0.482831E+001    0.489664E+001
     y          260    0.400733E+001    0.462888E+001
     y          231    0.529832E+001    0.474256E+001
     y          113    0.463473E+001    0.441962E+001
     y          436    0.400733E+001    0.393141E+001
     y          437    0.400733E+001    0.441788E+001
     y          260    0.460517E+001    0.443810E+001
     y          261    0.352636E+001    0.415340E+001
     y           52    0.444265E+001    0.458605E+001
     y          223    0.483628E+001    0.461443E+001
     y          230    0.470953E+001    0.463576E+001
     y          131    0.464439E+001    0.482770E+001
     y          223    0.462497E+001    0.452747E+001
     y           61    0.520401E+001    0.566605E+001
     y          241    0.460517E+001    0.510527E+001
     y          231    0.555296E+001    0.537619E+001
     y          241    0.520401E+001    0.500874E+001
     y           44    0.409434E+001    0.387253E+001
     y          223    0.429046E+001    0.419382E+001
     y          231    0.542935E+001    0.477554E+001
     y          229    0.455388E+001    0.467272E+001
     y          241    0.552943E+001    0.491233E+001
     y          230    0.417439E+001    0.458197E+001
     y          133    0.479579E+001    0.515018E+001
     y          131    0.446591E+001    0.482770E+001
     y          451    0.407754E+001    0.521605E+001
     y          437    0.512396E+001    0.468989E+001
     y          240    0.508140E+001    0.523501E+001
     y          230    0.421951E+001    0.444979E+001
     y          113    0.523644E+001    0.515420E+001
     y           51    0.346574E+001    0.334064E+001
     y          132    0.460517E+001    0.483002E+001
     y          117    0.647697E+001    0.667741E+001
     y           45    0.407754E+001    0.486229E+001
     y          240    0.461512E+001    0.493917E+001
     y          231    0.532788E+001    0.507488E+001
     y           59    0.549717E+001    0.573082E+001
     y          450    0.309104E+001    0.319691E+001
     y          231    0.512990E+001    0.501583E+001
     y          220    0.409434E+001    0.451190E+001
     y          132    0.621461E+001    0.561947E+001
     y          436    0.417439E+001    0.405725E+001
     y          241    0.538450E+001    0.593999E+001
     y           64    0.465396E+001    0.485335E+001
     y          449    0.570378E+001    0.536213E+001
     y           52    0.431749E+001    0.403313E+001
     y           59    0.574300E+001    0.552262E+001
     y           64    0.532301E+001    0.435717E+001
     y           52    0.395124E+001    0.399794E+001
     y          220    0.329584E+001    0.405012E+001
     y          113    0.589440E+001    0.624391E+001
     y           64    0.426268E+001    0.425726E+001
     y          231    0.589164E+001    0.524758E+001
     y          231    0.466344E+001    0.475574E+001
     y          448    0.532788E+001    0.522639E+001
     y          131    0.504986E+001    0.495966E+001
     y          121    0.736834E+001    0.691881E+001
     y          431    0.418965E+001    0.444801E+001
     y           61    0.492725E+001    0.490842E+001
     y          230    0.463473E+001    0.459189E+001
     y          131    0.452179E+001    0.482770E+001
     y          448    0.329584E+001    0.457460E+001
     y          132    0.444265E+001    0.504280E+001
     y          117    0.646303E+001    0.645700E+001
     y          431    0.429046E+001    0.407443E+001
     y          217    0.430407E+001    0.449251E+001
     y          223    0.449981E+001    0.462067E+001
     y          223    0.506260E+001    0.443805E+001
     y          221    0.438203E+001    0.380502E+001
     y          132    0.506890E+001    0.473688E+001
     y          219    0.438203E+001    0.428478E+001
     y          131    0.483628E+001    0.482770E+001
     y          231    0.607304E+001    0.522289E+001
     y          448    0.478749E+001    0.490208E+001
     y          241    0.477068E+001    0.485448E+001
     y          231    0.523111E+001    0.489964E+001
     y          113    0.485981E+001    0.485508E+001
     y          121    0.433073E+001    0.530156E+001
     y          451    0.470953E+001    0.477237E+001
     y           21    0.506890E+001    0.523942E+001
     y          260    0.516479E+001    0.482413E+001
     y          229    0.454329E+001    0.480325E+001
     y          133    0.525227E+001    0.507830E+001
     y          131    0.475359E+001    0.482770E+001
     y          261    0.460517E+001    0.463083E+001
     y          133    0.678897E+001    0.702575E+001
     y          261    0.513580E+001    0.464846E+001
     y          240    0.512990E+001    0.508033E+001
     y          132    0.504343E+001    0.473688E+001
     y          131    0.514166E+001    0.482770E+001
     y          230    0.387120E+001    0.451159E+001
     y           51    0.455388E+001    0.393331E+001
     y           45    0.573979E+001    0.511597E+001
     y          230    0.464439E+001    0.454311E+001
     y          241    0.501064E+001    0.477021E+001
     y          220    0.424850E+001    0.403156E+001
     y          131    0.484419E+001    0.482770E+001
     y          449    0.455388E+001    0.442337E+001
     y          437    0.520401E+001    0.466530E+001
     y          436    0.507517E+001    0.457110E+001
     y          121    0.594542E+001    0.574192E+001
     y          449    0.504343E+001    0.476841E+001
     y          131    0.490527E+001    0.482770E+001
     y          221    0.505625E+001    0.424963E+001
     y           44    0.382864E+001    0.373780E+001
     y           61    0.484419E+001    0.509659E+001
     y          117    0.529832E+001    0.531114E+001
     y          113    0.460517E+001    0.538673E+001
     y           45    0.453260E+001    0.486229E+001
     y           21    0.537528E+001    0.453438E+001
     y          131    0.481218E+001    0.486537E+001
     y          121    0.554126E+001    0.583574E+001
     y          131    0.496981E+001    0.482770E+001
     y          113    0.552146E+001    0.541034E+001
     y          436    0.436945E+001    0.381089E+001
     y          113    0.473620E+001    0.475186E+001
     y          431    0.460517E+001    0.439869E+001
     y          231    0.333220E+001    0.439039E+001
     y          436    0.455388E+001    0.433969E+001
     y          448    0.506260E+001    0.494404E+001
     y           61    0.501064E+001    0.543525E+001
     y          133    0.494164E+001    0.507830E+001
     y          113    0.471850E+001    0.478131E+001
     y          241    0.504986E+001    0.475603E+001
     y          222    0.460517E+001    0.410583E+001
     y          437    0.400733E+001    0.436309E+001
     y          231    0.553733E+001    0.537741E+001
     y          220    0.477912E+001    0.458787E+001
     y          223    0.368888E+001    0.417426E+001
     y          121    0.512990E+001    0.483676E+001
     y          113    0.445435E+001    0.494332E+001
     y           67    0.531321E+001    0.573183E+001
     y          113    0.478749E+001    0.502637E+001
     y          231    0.491998E+001    0.494765E+001
     y          261    0.373767E+001    0.393934E+001
     y          113    0.376120E+001    0.522636E+001
     y           37    0.598896E+001    0.584916E+001
     y          240    0.506260E+001    0.485719E+001
     y          220    0.411087E+001    0.430431E+001
     y          260    0.402535E+001    0.361351E+001
     y          220    0.516479E+001    0.458641E+001
     y          113    0.515906E+001    0.533106E+001
     y          131    0.465396E+001    0.482770E+001
     y          113    0.440672E+001    0.449259E+001
     y          431    0.407754E+001    0.423092E+001
     y          261    0.400733E+001    0.399092E+001
     y          117    0.573334E+001    0.603509E+001
     y          113    0.487520E+001    0.508831E+001
     y          241    0.540717E+001    0.507434E+001
     y          448    0.490527E+001    0.540693E+001
     y          437    0.502388E+001    0.475809E+001
     y          113    0.501064E+001    0.506321E+001
     y          133    0.551343E+001    0.515018E+001
     y          133    0.546383E+001    0.515018E+001
     y           50    0.400733E+001    0.400733E+001
     y          223    0.429046E+001    0.447490E+001
     y          240    0.561313E+001    0.517190E+001
     y           61    0.494876E+001    0.482303E+001
     y          261    0.373767E+001    0.393934E+001
     y          230    0.477068E+001    0.453283E+001
     y          437    0.443082E+001    0.461374E+001
     y          220    0.317805E+001    0.377062E+001
     y          261    0.504986E+001    0.471609E+001
     y          116    0.619441E+001    0.546201E+001
     y          240    0.602587E+001    0.516409E+001
     y          131    0.489784E+001    0.482770E+001
     y           61    0.512396E+001    0.501454E+001
     y          436    0.366356E+001    0.371128E+001
     y          437    0.436945E+001    0.413480E+001
     y          231    0.500395E+001    0.520515E+001
     y           50    0.391202E+001    0.375433E+001
     y           61    0.587493E+001    0.533017E+001
     y           59    0.647697E+001    0.612920E+001
     y          113    0.512990E+001    0.523703E+001
     y          229    0.443082E+001    0.475150E+001
     y          214    0.343399E+001    0.395810E+001
     y          437    0.447734E+001    0.440129E+001
     y           24    0.363759E+001    0.378121E+001
     y          231    0.524702E+001    0.509632E+001
     y          131    0.482831E+001    0.482770E+001
     y          241    0.477912E+001    0.538820E+001
     y          260    0.449981E+001    0.455664E+001
     y          448    0.500395E+001    0.523074E+001
     y          113    0.462497E+001    0.472320E+001
     y          231    0.518739E+001    0.473347E+001
     y          431    0.500395E+001    0.414155E+001
     y          131    0.464439E+001    0.482770E+001
     y          241    0.570044E+001    0.509620E+001
     y          240    0.426268E+001    0.478197E+001
     y          261    0.516479E+001    0.471609E+001
     y          431    0.459512E+001    0.422750E+001
     y          431    0.430407E+001    0.441535E+001
     y          260    0.438203E+001    0.465215E+001
     y          448    0.558725E+001    0.487506E+001
     y          131    0.510595E+001    0.482770E+001
     y           52    0.562402E+001    0.515192E+001
     y          431    0.478749E+001    0.497133E+001
     y          131    0.534711E+001    0.482770E+001
     y           61    0.589715E+001    0.559036E+001
     y          116    0.493447E+001    0.456338E+001
     y          113    0.550939E+001    0.564886E+001
     y           44    0.340120E+001    0.352410E+001
     y          220    0.476217E+001    0.458572E+001
     y          431    0.447734E+001    0.436311E+001
     y          131    0.504986E+001    0.482770E+001
     y           19    0.841183E+001    0.761855E+001
     y           59    0.563835E+001    0.569732E+001
     y          131    0.491998E+001    0.482770E+001
     y          436    0.407754E+001    0.461418E+001
     y          230    0.516479E+001    0.470121E+001
     y          230    0.507517E+001    0.468080E+001
     y          216    0.395124E+001    0.432523E+001
     y          229    0.503695E+001    0.526591E+001
     y           64    0.519296E+001    0.486014E+001
     y          131    0.489784E+001    0.482770E+001
     y          437    0.406044E+001    0.443529E+001
     y          448    0.529832E+001    0.535465E+001
     y           23    0.491265E+001    0.412345E+001
     y           52    0.508760E+001    0.432982E+001
     y          220    0.453260E+001    0.455910E+001
     y          260    0.380666E+001    0.361351E+001
     y          216    0.409434E+001    0.415969E+001
     y          260    0.402535E+001    0.361351E+001
     y          113    0.469135E+001    0.490530E+001
     y          437    0.448864E+001    0.460194E+001
     y          113    0.541165E+001    0.538491E+001
     y          261    0.373767E+001    0.354261E+001
     y          231    0.529832E+001    0.475657E+001
     y          220    0.449981E+001    0.438073E+001
     y           23    0.662539E+001    0.497307E+001
     y          231    0.447734E+001    0.472342E+001
     y          241    0.554126E+001    0.496703E+001
     y          231    0.578383E+001    0.559379E+001
     y          132    0.576832E+001    0.658836E+001
     y           64    0.361092E+001    0.381387E+001
     y          217    0.507517E+001    0.471954E+001
     y          230    0.483628E+001    0.455489E+001
     y           61    0.507517E+001    0.494464E+001
     y          231    0.460517E+001    0.442553E+001
     y          437    0.313549E+001    0.394824E+001
     y           20    0.486753E+001    0.407405E+001
     y           67    0.770436E+001    0.783109E+001
     y          231    0.514166E+001    0.523490E+001
     y          240    0.504986E+001    0.474897E+001
     y          231    0.541165E+001    0.519958E+001
     y          121    0.641999E+001    0.675653E+001
     y           21    0.552146E+001    0.547390E+001
     y          241    0.520949E+001    0.501689E+001
     y           61    0.515906E+001    0.510184E+001
     y          231    0.510595E+001    0.511049E+001
     y          221    0.431749E+001    0.447598E+001
     y           20    0.435671E+001    0.452183E+001
     y          121    0.564545E+001    0.568814E+001
     y          113    0.534233E+001    0.523678E+001
     y          113    0.541610E+001    0.505285E+001
     y          220    0.417439E+001    0.425077E+001
     y          223    0.387120E+001    0.422138E+001
     y          220    0.382864E+001    0.358095E+001
     y          113    0.529330E+001    0.540526E+001
     y           37    0.470048E+001    0.376299E+001
     y          241    0.509987E+001    0.539976E+001
     y          230    0.486753E+001    0.453309E+001
     y           21    0.398898E+001    0.472117E+001
     y          220    0.393183E+001    0.387591E+001
     y           31    0.704403E+001    0.656100E+001
     y          220    0.304452E+001    0.430074E+001
     y          229    0.470048E+001    0.454790E+001
     y          448    0.570378E+001    0.523321E+001
     y          221    0.355535E+001    0.406948E+001
     y           51    0.431749E+001    0.426019E+001
     y          133    0.524175E+001    0.515018E+001
     y          231    0.515329E+001    0.526206E+001
     y          131    0.444265E+001    0.482770E+001
     y          437    0.352636E+001    0.472651E+001
     y          229    0.517615E+001    0.442605E+001
     y          260    0.494164E+001    0.467892E+001
     y          437    0.511799E+001    0.433693E+001
     y          220    0.417439E+001    0.362098E+001
     y           52    0.400733E+001    0.406362E+001
     y          131    0.489784E+001    0.482770E+001
     y          451    0.489784E+001    0.487848E+001
     y           19    0.482831E+001    0.448883E+001
     y          132    0.452179E+001    0.512398E+001
     y          229    0.431749E+001    0.465362E+001
     y           51    0.336730E+001    0.347740E+001
     y           24    0.346574E+001    0.340265E+001
     y          230    0.493447E+001    0.492477E+001
     y          132    0.552146E+001    0.501774E+001
     y           61    0.541610E+001    0.508292E+001
     y          448    0.663988E+001    0.562692E+001
     y          261    0.529330E+001    0.502871E+001
     y          222    0.424850E+001    0.493771E+001
     y          230    0.397029E+001    0.447592E+001
     y           67    0.630810E+001    0.593661E+001
     y          231    0.441884E+001    0.455084E+001
     y           52    0.400733E+001    0.406894E+001
     y          131    0.530827E+001    0.485459E+001
     y          223    0.438203E+001    0.459566E+001
     y           36    0.481218E+001    0.480517E+001
     y          231    0.431749E+001    0.474692E+001
     y          241    0.478749E+001    0.482619E+001
     y          431    0.380666E+001    0.388330E+001
     y          241    0.506890E+001    0.521414E+001
     y          231    0.527300E+001    0.472388E+001
     y          132    0.503695E+001    0.473688E+001
     y          230    0.462497E+001    0.473600E+001
     y          223    0.477068E+001    0.461452E+001
     y          131    0.509987E+001    0.495095E+001
     y          431    0.378419E+001    0.418280E+001
     y          260    0.283321E+001    0.358273E+001
     y          230    0.412713E+001    0.463800E+001
     y           24    0.400733E+001    0.396432E+001
     y          121    0.661070E+001    0.627670E+001
     y           59    0.506260E+001    0.539449E+001
     y          230    0.436945E+001    0.455335E+001
     y          117    0.562402E+001    0.568782E+001
     y          216    0.458497E+001    0.452049E+001
     y          113    0.552146E+001    0.540057E+001
     y          241    0.498361E+001    0.518821E+001
     y          221    0.355535E+001    0.353640E+001
     y          229    0.489784E+001    0.498376E+001
     y          448    0.421951E+001    0.512154E+001
     y           61    0.630079E+001    0.583556E+001
     y          451    0.464439E+001    0.484293E+001
     y           44    0.449981E+001    0.449981E+001
     y           50    0.355535E+001    0.353139E+001
     y           20    0.363759E+001    0.413251E+001
     y           61    0.389182E+001    0.382836E+001
     y          261    0.474493E+001    0.449627E+001
     y          113    0.506260E+001    0.476339E+001
     y          229    0.448864E+001    0.449794E+001
     y          113    0.509987E+001    0.462638E+001
     y          113    0.579301E+001    0.531514E+001
     y          240    0.556068E+001    0.505042E+001
     y          217    0.579606E+001    0.559886E+001
     y          230    0.473620E+001    0.455693E+001
     y          231    0.496981E+001    0.461482E+001
     y          230    0.490527E+001    0.457345E+001
     y           51    0.349651E+001    0.375502E+001
     y           61    0.578074E+001    0.564330E+001
     y          132    0.457471E+001    0.515422E+001
     y           51    0.391202E+001    0.417929E+001
     y          117    0.610032E+001    0.560274E+001
     y          448    0.520401E+001    0.500623E+001
     y          113    0.459512E+001    0.480689E+001
     y          131    0.560580E+001    0.557404E+001
     y           21    0.434381E+001    0.427036E+001
     y          240    0.424850E+001    0.473553E+001
     y          261    0.349651E+001    0.349651E+001
     y           61    0.516479E+001    0.547630E+001
     y          430    0.423411E+001    0.402319E+001
     y          230    0.440672E+001    0.453799E+001
     y          229    0.448864E+001    0.456429E+001
     y          113    0.539816E+001    0.560332E+001
     y          240    0.482831E+001    0.472771E+001
     y          437    0.494876E+001    0.439221E+001
     y          230    0.429046E+001    0.459670E+001
     y          223    0.482831E+001    0.441365E+001
     y          260    0.525227E+001    0.468172E+001
     y          133    0.509987E+001    0.515018E+001
     y          230    0.470953E+001    0.456279E+001
     y           61    0.613988E+001    0.584866E+001
     y          261    0.417439E+001    0.352730E+001
     y          230    0.493447E+001    0.450759E+001
     y           61    0.570378E+001    0.576622E+001
     y          132    0.460517E+001    0.490915E+001
     y          113    0.476217E+001    0.516617E+001
     y           52    0.431749E+001    0.458064E+001
     y          231    0.439445E+001    0.478082E+001
     y           50    0.382864E+001    0.411934E+001
     y          230    0.512396E+001    0.457598E+001
     y          131    0.497673E+001    0.482770E+001
     y           61    0.505625E+001    0.538562E+001
     y          132    0.604263E+001    0.595865E+001
     y          241    0.537528E+001    0.561227E+001
     y          221    0.434381E+001    0.421970E+001
     y          223    0.478749E+001    0.452974E+001
     y          241    0.504343E+001    0.472898E+001
     y          241    0.497673E+001    0.474833E+001
     y          230    0.522036E+001    0.469691E+001
     y          220    0.470048E+001    0.437564E+001
     y           61    0.458497E+001    0.487583E+001
     y          231    0.496284E+001    0.496733E+001
     y          221    0.376120E+001    0.411733E+001
     y          131    0.495583E+001    0.482770E+001
     y          223    0.476217E+001    0.456262E+001
     y          229    0.464439E+001    0.464753E+001
     y          131    0.436945E+001    0.482770E+001
     y          437    0.409434E+001    0.443571E+001
     y          240    0.529832E+001    0.563276E+001
     y          133    0.478749E+001    0.515018E+001
     y          132    0.449981E+001    0.476761E+001
     y          121    0.760040E+001    0.656691E+001
     y          431    0.407754E+001    0.431271E+001
     y          241    0.527300E+001    0.527994E+001
     y           61    0.527300E+001    0.464715E+001
     y          113    0.478749E+001    0.498332E+001
     y          430    0.387120E+001    0.387120E+001
     y          221    0.378419E+001    0.404040E+001
     y          222    0.325810E+001    0.341334E+001
     y          431    0.409434E+001    0.418838E+001
     y          116    0.524175E+001    0.559237E+001
     y           67    0.810742E+001    0.703777E+001
     y          223    0.489035E+001    0.460801E+001
     y          113    0.491998E+001    0.471769E+001
     y           52    0.400733E+001    0.388294E+001
     y           52    0.398898E+001    0.388248E+001
     y          448    0.520401E+001    0.460925E+001
     y           50    0.378419E+001    0.400082E+001
     y          132    0.528827E+001    0.499222E+001
     y          437    0.444265E+001    0.431113E+001
     y          214    0.462497E+001    0.465583E+001
     y          448    0.478749E+001    0.524792E+001
     y          132    0.662007E+001    0.675430E+001
     y           51    0.400733E+001    0.388602E+001
     y          448    0.501064E+001    0.504943E+001
     y          113    0.459512E+001    0.455704E+001
     y           31    0.688755E+001    0.697084E+001
     y          113    0.404305E+001    0.462947E+001
     y          113    0.395124E+001    0.454673E+001
     y          221    0.423411E+001    0.365107E+001
     y          222    0.329584E+001    0.340541E+001
     y          230    0.452179E+001    0.459694E+001
     y          437    0.431749E+001    0.430258E+001
     y           51    0.424850E+001    0.362287E+001
     y          113    0.491998E+001    0.531843E+001
     y          221    0.460517E+001    0.425136E+001
     y          436    0.277259E+001    0.324666E+001
     y          113    0.519296E+001    0.512638E+001
     y           21    0.499043E+001    0.460766E+001
     y          117    0.600881E+001    0.554788E+001
     y          260    0.504343E+001    0.475946E+001
     y          230    0.484419E+001    0.478339E+001
     y          231    0.529832E+001    0.507485E+001
     y          220    0.444265E+001    0.443571E+001
     y          231    0.506890E+001    0.524452E+001
     y          121    0.610925E+001    0.577693E+001
     y          431    0.336730E+001    0.358244E+001
     y          131    0.485203E+001    0.482770E+001
     y          229    0.395124E+001    0.433628E+001
     y          229    0.427667E+001    0.431818E+001
     y          131    0.487520E+001    0.476326E+001
     y          132    0.461512E+001    0.465636E+001
     y          241    0.539363E+001    0.521389E+001
     y          241    0.509375E+001    0.494000E+001
     y          131    0.510595E+001    0.482770E+001
     y          229    0.417439E+001    0.400572E+001
     y          221    0.473620E+001    0.438743E+001
     y           23    0.329584E+001    0.405156E+001
     y          113    0.535186E+001    0.536369E+001
     y          437    0.409434E+001    0.439607E+001
     y          221    0.438203E+001    0.438203E+001
     y          229    0.448864E+001    0.434707E+001
     y          450    0.514166E+001    0.471573E+001
     y          260    0.519296E+001    0.455664E+001
     y          260    0.363759E+001    0.380291E+001
     y          220    0.460517E+001    0.440002E+001
     y          261    0.467283E+001    0.531635E+001
     y          131    0.446591E+001    0.482770E+001
     y          231    0.500395E+001    0.528684E+001
     y          131    0.509375E+001    0.482770E+001
     y          230    0.455388E+001    0.449978E+001
     y          113    0.560212E+001    0.551883E+001
     y          450    0.453260E+001    0.438638E+001
     y          133    0.495583E+001    0.507830E+001
     y          230    0.460517E+001    0.462977E+001
     y          431    0.498361E+001    0.435060E+001
     y          430    0.349651E+001    0.351374E+001
     y          437    0.444265E+001    0.427865E+001
     y          220    0.463473E+001    0.407527E+001
     y          448    0.493447E+001    0.475240E+001
     y          228    0.490527E+001    0.479589E+001
     y          131    0.504343E+001    0.482770E+001
     y          448    0.467283E+001    0.520235E+001
     y          448    0.400733E+001    0.483353E+001
     y          220    0.467283E+001    0.436859E+001
     y           51    0.380666E+001    0.367402E+001
     y          230    0.458497E+001    0.466306E+001
     y           51    0.340120E+001    0.358751E+001
     y          113    0.484419E+001    0.523270E+001
     y          436    0.460517E+001    0.451780E+001
     y          229    0.475359E+001    0.447924E+001
     y           67    0.610702E+001    0.683151E+001
     y           20    0.448864E+001    0.433834E+001
     y          241    0.571373E+001    0.531229E+001
     y          430    0.690675E+001    0.619969E+001
     y          131    0.511199E+001    0.482770E+001
     y           61    0.565249E+001    0.565744E+001
     y          261    0.431749E+001    0.454535E+001
     y           50    0.449981E+001    0.374195E+001
     y          261    0.464439E+001    0.430874E+001
     y          223    0.487520E+001    0.442515E+001
     y          240    0.461512E+001    0.474668E+001
     y          121    0.613556E+001    0.650017E+001
     y          241    0.529330E+001    0.520974E+001
     y           64    0.440672E+001    0.440837E+001
     y           52    0.395124E+001    0.405149E+001
     y          431    0.423411E+001    0.416300E+001
     y           23    0.411087E+001    0.411087E+001
     y          214    0.461512E+001    0.423414E+001
     y          229    0.430407E+001    0.460617E+001
     y          131    0.516479E+001    0.490456E+001
     y           64    0.444265E+001    0.440837E+001
     y          132    0.519296E+001    0.512158E+001
     y          113    0.489784E+001    0.493049E+001
     y          133    0.527300E+001    0.515018E+001
     y          229    0.438203E+001    0.451374E+001
     y          450    0.321888E+001    0.323672E+001
     y          436    0.373767E+001    0.408539E+001
     y          132    0.507517E+001    0.557934E+001
     y          229    0.499043E+001    0.492334E+001
     y          240    0.465396E+001    0.450937E+001
     y          231    0.491265E+001    0.478544E+001
     y          448    0.545532E+001    0.516875E+001
     y          229    0.373767E+001    0.387328E+001
     y          132    0.529832E+001    0.512665E+001
     y          220    0.417439E+001    0.374970E+001
     y          260    0.358352E+001    0.361351E+001
     y          241    0.509987E+001    0.556762E+001
     y          117    0.554518E+001    0.584737E+001
     y          113    0.569709E+001    0.519628E+001
     y          241    0.469135E+001    0.516957E+001
     y          436    0.363759E+001    0.463725E+001
     y          230    0.431749E+001    0.449795E+001
     y          222    0.455388E+001    0.454666E+001
     y          240    0.578074E+001    0.484123E+001
     y          431    0.467283E+001    0.436998E+001
     y          229    0.400733E+001    0.400731E+001
     y          241    0.481218E+001    0.491560E+001
     y           44    0.366356E+001    0.423131E+001
     y          223    0.417439E+001    0.419485E+001
     y          231    0.500395E+001    0.531483E+001
     y          220    0.435671E+001    0.438983E+001
     y          448    0.480402E+001    0.511246E+001
     y          230    0.478749E+001    0.449977E+001
     y          448    0.470953E+001    0.490761E+001
     y          113    0.395124E+001    0.463659E+001
     y          133    0.626340E+001    0.606358E+001
     y           51    0.336730E+001    0.355080E+001
     y          116    0.627099E+001    0.609346E+001
     y           45    0.527300E+001    0.485791E+001
     y          133    0.547646E+001    0.507830E+001
     y          240    0.635263E+001    0.545717E+001
     y           50    0.333220E+001    0.369951E+001
     y          229    0.526269E+001    0.458469E+001
     y          448    0.552146E+001    0.540185E+001
     y           61    0.489035E+001    0.518297E+001
     y          131    0.502388E+001    0.482770E+001
     y          131    0.470953E+001    0.482770E+001
     y           36    0.598896E+001    0.574925E+001
     y          260    0.549717E+001    0.531547E+001
     y           61    0.630992E+001    0.599764E+001
     y          448    0.550939E+001    0.542817E+001
     y          449    0.595584E+001    0.600295E+001
     y          230    0.482831E+001    0.458843E+001
     y          220    0.513580E+001    0.472648E+001
     y          260    0.363759E+001    0.380291E+001
     y          261    0.415888E+001    0.463083E+001
     y           51    0.336730E+001    0.361999E+001
     y          449    0.346574E+001    0.443520E+001
     y          231    0.594280E+001    0.565877E+001
     y          113    0.571703E+001    0.525169E+001
     y          261    0.366356E+001    0.359166E+001
     y          451    0.537990E+001    0.509064E+001
     y          116    0.539816E+001    0.513484E+001
     y           23    0.668461E+001    0.676641E+001
     y          260    0.380666E+001    0.361351E+001
     y          113    0.506260E+001    0.569096E+001
     y          113    0.497673E+001    0.463056E+001
     y           17    0.530827E+001    0.588525E+001
     y          430    0.460517E+001    0.404269E+001
     y           51    0.389182E+001    0.347474E+001
     y          448    0.513580E+001    0.543741E+001
     y          217    0.366356E+001    0.407590E+001
     y          437    0.489035E+001    0.476946E+001
     y           64    0.519296E+001    0.547539E+001
     y          223    0.440672E+001    0.457159E+001
     y           20    0.380666E+001    0.449343E+001
     y           31    0.615060E+001    0.659893E+001
     y          223    0.421951E+001    0.463671E+001
     y          220    0.485981E+001    0.444081E+001
     y          230    0.467283E+001    0.454728E+001
     y          220    0.424850E+001    0.436053E+001
     y          223    0.481218E+001    0.455850E+001
     y           61    0.502388E+001    0.507574E+001
     y          220    0.431749E+001    0.475196E+001
     y          431    0.363759E+001    0.408777E+001
     y          230    0.443082E+001    0.453864E+001
     y          230    0.540717E+001    0.483399E+001
     y          448    0.486753E+001    0.500245E+001
     y          450    0.541610E+001    0.567945E+001
     y          113    0.482831E+001    0.505944E+001
     y          220    0.411087E+001    0.417538E+001
     y          449    0.474493E+001    0.550050E+001
     y           52    0.402535E+001    0.408094E+001
     y          231    0.506890E+001    0.471155E+001
     y          450    0.454329E+001    0.454329E+001
     y          241    0.532788E+001    0.606995E+001
     y          437    0.491998E+001    0.476108E+001
     y           64    0.540268E+001    0.506178E+001
     y          431    0.455388E+001    0.472187E+001
     y          131    0.470048E+001    0.482770E+001
     y           36    0.598896E+001    0.606315E+001
     y          437    0.431749E+001    0.497242E+001
