 train         node      observed        predicted
     y          230    0.426268E+001    0.451988E+001
     y          437    0.501064E+001    0.408632E+001
     y           61    0.560947E+001    0.545993E+001
     y          229    0.436945E+001    0.474838E+001
     y           51    0.435671E+001    0.392275E+001
     y          132    0.529832E+001    0.522846E+001
     y          240    0.438203E+001    0.478196E+001
     y          229    0.455388E+001    0.457219E+001
     y           61    0.507517E+001    0.467130E+001
     y          436    0.409434E+001    0.411351E+001
     y          240    0.516479E+001    0.540983E+001
     y          131    0.475359E+001    0.482770E+001
     y           50    0.346574E+001    0.384250E+001
     y          113    0.621461E+001    0.575311E+001
     y          231    0.470953E+001    0.507664E+001
     y          241    0.434381E+001    0.501844E+001
     y          231    0.431749E+001    0.482273E+001
     y          222    0.501064E+001    0.477327E+001
     y          431    0.393183E+001    0.399482E+001
     y          231    0.431749E+001    0.490124E+001
     y          240    0.427667E+001    0.490730E+001
     y           24    0.391202E+001    0.400821E+001
     y          448    0.514166E+001    0.518795E+001
     y          437    0.464439E+001    0.480655E+001
     y          131    0.499721E+001    0.482770E+001
     y          131    0.602828E+001    0.613903E+001
     y          113    0.583773E+001    0.512252E+001
     y          223    0.439445E+001    0.457758E+001
     y          437    0.417439E+001    0.432153E+001
     y          451    0.466344E+001    0.472673E+001
     y           23    0.535659E+001    0.504921E+001
     y          260    0.519296E+001    0.467747E+001
     y           52    0.398898E+001    0.408134E+001
     y          229    0.395124E+001    0.417538E+001
     y          240    0.459512E+001    0.486762E+001
     y          117    0.485203E+001    0.525150E+001
     y          220    0.451086E+001    0.511251E+001
     y          240    0.465396E+001    0.497417E+001
     y          448    0.395124E+001    0.450575E+001
     y          240    0.509987E+001    0.509987E+001
     y          220    0.474493E+001    0.469906E+001
     y          223    0.433073E+001    0.459784E+001
     y           61    0.530827E+001    0.544329E+001
     y           21    0.466344E+001    0.434125E+001
     y          113    0.481218E+001    0.470943E+001
     y          260    0.358352E+001    0.361351E+001
     y          241    0.531812E+001    0.542022E+001
     y          231    0.513580E+001    0.514246E+001
     y          117    0.585507E+001    0.565163E+001
     y          231    0.583773E+001    0.536263E+001
     y          113    0.508140E+001    0.527632E+001
     y          106    0.529832E+001    0.511614E+001
     y           51    0.368888E+001    0.354273E+001
     y          449    0.505625E+001    0.482749E+001
     y          231    0.461512E+001    0.520875E+001
     y          437    0.421951E+001    0.501162E+001
     y           67    0.510595E+001    0.528076E+001
     y          431    0.446591E+001    0.430098E+001
     y           61    0.497673E+001    0.501870E+001
     y           52    0.409434E+001    0.407856E+001
     y          229    0.477912E+001    0.471862E+001
     y          222    0.421951E+001    0.467880E+001
     y          260    0.552146E+001    0.462888E+001
     y          132    0.478749E+001    0.490477E+001
     y          437    0.474493E+001    0.480356E+001
     y          450    0.516479E+001    0.589892E+001
     y           61    0.587774E+001    0.568512E+001
     y          132    0.478749E+001    0.504280E+001
     y          240    0.459512E+001    0.466726E+001
     y           61    0.464439E+001    0.500878E+001
     y          220    0.283321E+001    0.436877E+001
     y          220    0.462497E+001    0.454038E+001
     y          132    0.529832E+001    0.519879E+001
     y          113    0.596615E+001    0.529319E+001
     y          261    0.397029E+001    0.420540E+001
     y          229    0.438203E+001    0.423839E+001
     y          219    0.366356E+001    0.364003E+001
     y          260    0.552146E+001    0.483171E+001
     y          451    0.417439E+001    0.456359E+001
     y          229    0.508760E+001    0.474732E+001
     y          220    0.423411E+001    0.453506E+001
     y           20    0.407754E+001    0.432449E+001
     y           31    0.585507E+001    0.604001E+001
     y          229    0.440672E+001    0.471757E+001
     y          437    0.336730E+001    0.328670E+001
     y           23    0.447734E+001    0.420728E+001
     y          131    0.481218E+001    0.482770E+001
     y          113    0.547646E+001    0.499363E+001
     y           50    0.380666E+001    0.364876E+001
     y          448    0.552146E+001    0.459484E+001
     y          132    0.438203E+001    0.481848E+001
     y           51    0.336730E+001    0.335937E+001
     y          431    0.411087E+001    0.439582E+001
     y          261    0.494164E+001    0.522701E+001
     y           61    0.511799E+001    0.504689E+001
     y          132    0.536129E+001    0.507963E+001
     y          431    0.404305E+001    0.434485E+001
     y          223    0.490527E+001    0.459432E+001
     y          448    0.486753E+001    0.505854E+001
     y          223    0.447734E+001    0.456950E+001
     y          229    0.516479E+001    0.481630E+001
     y          220    0.304452E+001    0.367950E+001
     y          106    0.532301E+001    0.512399E+001
     y          261    0.431749E+001    0.505600E+001
     y           61    0.431749E+001    0.481849E+001
     y          431    0.414313E+001    0.453161E+001
     y          221    0.436945E+001    0.493415E+001
     y          132    0.438203E+001    0.495010E+001
     y          240    0.524175E+001    0.514622E+001
     y           24    0.501064E+001    0.478481E+001
     y          231    0.478749E+001    0.467905E+001
     y          437    0.446591E+001    0.464442E+001
     y          431    0.349651E+001    0.411854E+001
     y          231    0.488280E+001    0.519213E+001
     y          261    0.517615E+001    0.477324E+001
     y          231    0.506260E+001    0.489025E+001
     y          437    0.484419E+001    0.482630E+001
     y          220    0.449981E+001    0.468342E+001
     y          241    0.445435E+001    0.479115E+001
     y          113    0.570044E+001    0.584312E+001
     y           19    0.596358E+001    0.580272E+001
     y          240    0.542053E+001    0.501549E+001
     y          222    0.358352E+001    0.394673E+001
     y          260    0.380666E+001    0.361351E+001
     y          113    0.633505E+001    0.563820E+001
     y          223    0.411087E+001    0.449713E+001
     y          241    0.517048E+001    0.507633E+001
     y          240    0.490527E+001    0.541437E+001
     y          436    0.455388E+001    0.403811E+001
     y          449    0.376120E+001    0.428790E+001
     y           51    0.349651E+001    0.359016E+001
     y          431    0.501064E+001    0.412944E+001
     y          448    0.489784E+001    0.464588E+001
     y          117    0.529330E+001    0.549787E+001
     y          261    0.373767E+001    0.379807E+001
     y          240    0.529832E+001    0.505458E+001
     y          121    0.592693E+001    0.549383E+001
     y          231    0.449981E+001    0.449306E+001
     y          260    0.565948E+001    0.484693E+001
     y          431    0.368888E+001    0.395562E+001
     y          113    0.554126E+001    0.541527E+001
     y          229    0.468213E+001    0.499756E+001
     y           52    0.415888E+001    0.406372E+001
     y           52    0.395124E+001    0.399828E+001
     y          113    0.516479E+001    0.549612E+001
     y          240    0.528320E+001    0.475083E+001
     y           19    0.491998E+001    0.482393E+001
     y          113    0.477068E+001    0.489950E+001
     y          221    0.448864E+001    0.431065E+001
     y           37    0.349651E+001    0.376299E+001
     y          133    0.758274E+001    0.756190E+001
     y          220    0.470048E+001    0.478279E+001
     y          132    0.639526E+001    0.524968E+001
     y           19    0.524175E+001    0.520479E+001
     y          437    0.444265E+001    0.500488E+001
     y           52    0.412713E+001    0.387028E+001
     y          229    0.417439E+001    0.440171E+001
     y           19    0.448864E+001    0.488445E+001
     y          449    0.568698E+001    0.545745E+001
     y          448    0.512990E+001    0.503492E+001
     y           51    0.325810E+001    0.345873E+001
     y          437    0.456435E+001    0.481493E+001
     y          113    0.538907E+001    0.507029E+001
     y          132    0.478749E+001    0.512665E+001
     y           20    0.371357E+001    0.382933E+001
     y          230    0.431749E+001    0.449804E+001
     y          223    0.441884E+001    0.442047E+001
     y          241    0.542053E+001    0.570883E+001
     y          437    0.487520E+001    0.453074E+001
     y           37    0.480402E+001    0.498172E+001
     y          220    0.421951E+001    0.395074E+001
     y          229    0.448864E+001    0.467664E+001
     y          113    0.529832E+001    0.498604E+001
     y          431    0.380666E+001    0.403345E+001
     y           17    0.613123E+001    0.565536E+001
     y           51    0.389182E+001    0.402193E+001
     y          231    0.580513E+001    0.530892E+001
     y          131    0.471850E+001    0.482770E+001
     y           44    0.438203E+001    0.423131E+001
     y           17    0.420469E+001    0.400028E+001
     y          217    0.543808E+001    0.543808E+001
     y          437    0.491265E+001    0.463004E+001
     y          223    0.495583E+001    0.449016E+001
     y          222    0.417439E+001    0.417622E+001
     y          220    0.434381E+001    0.425976E+001
     y           17    0.690675E+001    0.504262E+001
     y          229    0.482028E+001    0.469531E+001
     y          223    0.466344E+001    0.460608E+001
     y          117    0.579606E+001    0.598143E+001
     y          220    0.485203E+001    0.451117E+001
     y          131    0.506890E+001    0.482770E+001
     y          113    0.529832E+001    0.526759E+001
     y           36    0.424850E+001    0.389537E+001
     y          260    0.539363E+001    0.483171E+001
