host_response_rate host_acceptance_rate host_is_superhost accommodates beds price minimum_nights maximum_nights has_availability number_of_reviews review_scores_rating instant_bookable reviews_per_month bathrooms
1.0 0.78 t 8 4.0 4.962844630259907 2 365 t 59 4.72 f 3.6 3.0
1.0 0.91 t 2 1.0 3.9512437185814275 1 1125 t 73 4.86 f 2.37 1.0
1.0 1.0 f 6 3.0 5.659482215759621 2 180 t 91 4.78 t 1.09 2.0
1.0 0.68 t 2 1.0 4.653960350157523 28 1125 t 9 5.0 f 0.2 1.0
1.0 1.0 f 4 2.0 5.0106352940962555 1 365 t 3 5.0 f 2.05 1.0
0.9 0.71 f 2 1.0 4.110873864173311 3 365 t 1 1.0 f 0.63 1.0
1.0 0.99 t 2 1.0 4.060443010546419 1 60 t 169 4.86 t 2.78 1.0
0.07 0.71 f 16 2.0 5.493061443340548 32 365 t 96 4.63 f 2.57 1.0
1.0 1.0 f 1 1.0 3.4339872044851463 1 999 t 7 4.88 t 1.62 2.0
0.97 1.0 NA 1 1.0 3.2188758248682006 2 30 t 66 4.09 t 2.18 1.0
0.5 0.89 f 6 4.0 5.521460917862246 1 90 t 14 4.29 f 0.49 2.0
1.0 0.9 t 2 1.0 3.9889840465642745 1 90 t 82 4.77 f 4.46 1.0
1.0 0.94 f 1 1.0 3.091042453358316 32 1125 t 59 4.56 f 0.57 1.0
1.0 0.93 t 6 5.0 4.795790545596741 3 700 t 26 5.0 f 2.86 1.0
1.0 0.99 f 2 1.0 4.77912349311153 32 365 t 55 4.82 f 3.22 1.0
0.91 0.98 t 2 1.0 4.624972813284271 1 365 t 43 4.81 t 2.42 1.0
1.0 1.0 f 8 4.0 5.313205979041787 3 365 t 47 4.69 t 2.69 2.0
1.0 1.0 f 4 2.0 5.375278407684165 1 28 t 11 4.0 f 0.4 1.0
0.98 0.99 f 3 1.0 3.1354942159291497 2 30 t 9 5.0 t 2.23 1.0
0.93 0.99 f 2 1.0 5.14166355650266 32 365 t 2 5.0 t 0.13 1.0
1.0 0.95 t 4 2.0 4.02535169073515 2 18 t 164 4.79 f 1.77 1.0
1.0 0.99 f 5 3.0 4.3694478524670215 32 1125 t 142 4.68 f 3.23 1.0
1.0 1.0 f 4 2.0 5.1647859739235145 2 30 t 13 5.0 f 2.05 1.0
NA 0.71 f 8 4.0 5.8377304471659395 3 365 t 6 5.0 f 1.27 2.0
1.0 0.96 t 4 2.0 4.700480365792417 2 1125 t 322 4.98 f 4.77 1.0
1.0 0.98 t 2 1.0 4.007333185232471 2 15 t 60 4.95 f 2.03 1.0
1.0 0.99 f 2 1.0 4.07753744390572 32 365 t 1 5.0 f 0.45 1.0
1.0 0.97 f 2 1.0 5.225746673713202 32 1125 t 0 NA f NA 1.0
1.0 1.0 t 4 2.0 4.394449154672439 1 1125 t 225 4.96 f 3.35 1.0
0.07 0.71 f 16 1.0 5.384495062789089 32 365 t 1 4.0 f 0.03 1.0
1.0 1.0 t 8 6.0 5.187385805840755 3 45 t 44 4.8 f 3.41 1.0
1.0 0.88 t 4 2.0 4.07753744390572 1 90 t 129 4.88 f 7.59 1.0
1.0 1.0 f 4 2.0 4.382026634673881 2 120 t 19 4.26 t 2.26 1.5
0.9 1.0 t 2 1.0 4.51085950651685 2 90 t 37 4.95 f 1.7 1.0
1.0 0.77 t 1 1.0 3.8066624897703196 32 365 t 1 5.0 f 0.34 1.0
0.99 0.99 f 4 2.0 5.44673737166631 1 1125 t 102 4.74 f 2.11 1.0
0.98 0.99 f 3 1.0 3.044522437723423 2 30 t 55 4.53 t 3.04 1.0
0.98 0.88 t 2 1.0 3.9512437185814275 1 90 t 10 4.73 f 3.45 1.0
1.0 0.98 t 2 1.0 4.30406509320417 2 7 t 346 4.81 f 3.69 1.0
0.9 0.93 t 4 2.0 5.337538079701318 32 365 t 0 NA f NA 2.0
1.0 0.97 f 2 1.0 5.429345628954441 32 365 t 0 NA t NA 1.0
